kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,CIGOMBONG,CIADEG,DESA,LAKI-LAKI,6437,2019
KABUPATEN BOGOR,CIGOMBONG,CIADEG,DESA,PEREMPUAN,5915,2019
KABUPATEN BOGOR,CARINGIN,PASIR BUNCIR,DESA,LAKI-LAKI,1661,2019
KABUPATEN BOGOR,CARINGIN,PASIR BUNCIR,DESA,PEREMPUAN,1563,2019
KABUPATEN BOGOR,CARINGIN,CINAGARA,DESA,LAKI-LAKI,5150,2019
KABUPATEN BOGOR,CARINGIN,CINAGARA,DESA,PEREMPUAN,4696,2019
KABUPATEN BOGOR,CARINGIN,TANGKIL,DESA,LAKI-LAKI,2705,2019
KABUPATEN BOGOR,CARINGIN,TANGKIL,DESA,PEREMPUAN,2747,2019
KABUPATEN BOGOR,CARINGIN,PASIR MUNCANG,DESA,LAKI-LAKI,4223,2019
KABUPATEN BOGOR,CARINGIN,PASIR MUNCANG,DESA,PEREMPUAN,3938,2019
KABUPATEN BOGOR,CARINGIN,MUARA JAYA,DESA,LAKI-LAKI,2825,2019
KABUPATEN BOGOR,CARINGIN,MUARA JAYA,DESA,PEREMPUAN,2768,2019
KABUPATEN BOGOR,CARINGIN,CARINGIN,DESA,LAKI-LAKI,5188,2019
KABUPATEN BOGOR,CARINGIN,CARINGIN,DESA,PEREMPUAN,4787,2019
KABUPATEN BOGOR,CARINGIN,LEMAH DUHUR,DESA,LAKI-LAKI,6580,2019
KABUPATEN BOGOR,CARINGIN,LEMAH DUHUR,DESA,PEREMPUAN,6235,2019
KABUPATEN BOGOR,CARINGIN,CIMANDE,DESA,LAKI-LAKI,3123,2019
KABUPATEN BOGOR,CARINGIN,CIMANDE,DESA,PEREMPUAN,2875,2019
KABUPATEN BOGOR,CARINGIN,PANCAWATI,DESA,LAKI-LAKI,7091,2019
KABUPATEN BOGOR,CARINGIN,PANCAWATI,DESA,PEREMPUAN,6326,2019
KABUPATEN BOGOR,CARINGIN,CIDERUM,DESA,LAKI-LAKI,7407,2019
